aave	Assist with Aave lending, borrowing, liquidations, and risk management across chains.
ab-testing	Experiment design, sample sizing, randomization units, and analyzing conversion and revenue metrics.
academic-writing	Conventions for journal manuscripts including IMRAD structure, hedging language, register, and discipline-specific style.
academy	Run academies with enrollment, scheduling, staffing, billing, retention, and student outcome systems.
accessibility-audit	Run a WCAG-focused audit end to end: automated sweeps, manual keyboard and screen reader passes, contrast and focus checks, and a severity-ranked remediation report.
accountant	Manage bookkeeping, financial statements, and tax planning with sound accounting practices.
accounting	Support accounting understanding from basic bookkeeping to professional practice and research.
acoustic-guitar	Acoustic guitar practice strategies, fingerpicking, strumming, and progress tracking.
act-prep	Prepare for the ACT with adaptive practice, score tracking, weak area analysis, and college targeting.
active-recall	Using retrieval practice to strengthen memory beyond passive rereading and review.
ads	Paid acquisition strategy, budget allocation, and avoiding common advertising mistakes across platforms
affiliate-marketing	Design and optimize affiliate programs with partner scoring, commission economics, tracking QA, fraud controls, and compliance reviews.
affirmations	Build a personal affirmation system for daily practice, custom affirmations, and mindset reinforcement.
agency	Build and operate a service agency with client management, project tracking, pricing, and team coordination.
agent	Define agent identity, personality, voice, and boundaries to create assistants that feel authentic rather than generic.
agentic-coding	Ship production code with AI agents through acceptance contracts, micro diffs, red green loops, and deterministic handoff checkpoints.
agentic-engineering	Work effectively with AI coding agents using parallel terminals, blast radius thinking, atomic commits, and pragmatic tool selection.
agents	Design, build, and deploy AI agents with architecture patterns, framework selection, memory systems, and production safety.
agi	Think like a human.
ai	Answer AI questions with current info instead of outdated training data.
airdrop	Send local files to nearby Apple devices through AirDrop with macOS guardrails, staging checks, and automation-friendly workflows.
airtag	Give your agent controlled access to all AirTags in your Apple account to locate items, run diagnostics, and recover setup failures.
alerts	Smart alerting patterns for AI agents - deduplication, routing, escalation, and fatigue prevention
alexa	Control devices, run automations, and help users get more from Alexa with smart home, routines, and skill development guidance.
aliexpress	Navigate Aliexpress as buyer, seller, or dropshipper with vendor evaluation, price comparison, and scam detection.
alipay	Implement Alipay for web and mobile with signed request safety, gateway alignment, and production-ready payment operations.
amazon	Navigate Amazon as buyer, seller, or affiliate with price tracking, listing optimization, and smart purchasing decisions.
amsterdam	Navigate Amsterdam as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, transport, costs, visas, and local insights.
analysis	Run deep system health checks across workspace, config, skills, and integrations with prioritized findings and remediation.
analyst	Extract insights from data with SQL, visualization, and clear communication of findings.
analytics	Deploy privacy-first analytics with correct API patterns, rate limits, and GDPR compliance.
analyze	Structured analysis for any input.
andorra	Plan Andorra trips with parish-level tips for skiing, hiking, shopping, wellness, and cross-border logistics.
android	Android build system and deployment patterns
android-studio	Work fast in Android Studio IDE with debugging, profiling, refactoring, and productivity shortcuts.
angular	Build reliable Angular apps avoiding RxJS leaks, change detection traps, and DI pitfalls.
animate	Animate app and web UIs across Flutter, React, SwiftUI, Compose, and React Native with motion systems, guardrails, and reduced-motion fallbacks.
animations	Create performant web animations with proper accessibility and timing.
anki	Create effective flashcards, optimize retention, and master spaced repetition with card design, deck organization, and study diagnostics.
ansible	Avoid common Ansible mistakes: YAML syntax traps, variable precedence, idempotence failures, and handler gotchas.
anxiety	Track anxiety episodes, triggers, thoughts, and coping responses with therapy-ready logs, weekly trend reviews, and safety-first escalation cues.
api	REST API reference for 147 services.
api-design	Resource modeling, naming, idempotency, pagination, and the long-term cost of breaking changes.
app	Launch and scale mobile apps with ASO, viral loops, monetization, and App Store growth tactics.
app-store	Publish and manage iOS and Android apps with account setup, submission workflows, review compliance, and rejection handling.
app-store-connect	Manage iOS apps, TestFlight builds, submissions, and analytics via App Store Connect API.
apple-calendar-macos	Use local CLI to manage Apple, Google, iCloud, Outlook, CalDAV, and other calendars synced in macOS Calendar, without API keys or OAuth.
apple-health	Connect agents to Apple Health exports with MCP setup, schema validation, and privacy-safe analysis.
apple-mail-macos	Use local CLI to manage Gmail, Outlook, iCloud, Yahoo, Fastmail, and other mail accounts synced in Apple Mail on macOS, without APIs or OAuth.
apple-maps	Search places, open routes, and run Apple Maps workflows on macOS using local CLI commands and shortcut automation with explicit safety checks.
